,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
533,16027.0,16883.0,47222.0,0.0,1.8566666666666698,0.4656680505290562,2016,0.16648752058536392,7.625000000000001,5.666666666666682,1.9583333333333188,-1.8566666666666698,True,False,True
102,16027.0,19866.0,44369.0,1.8566666666666698,1.8566666666666698,0.671342109244969,2012,0.3005901044030867,5.666666666666682,5.666666666666682,0.0,0.0,False,True,True
103,16029.0,386.0,2608.0,0.9236111111111109,0.9236111111111109,0.854521625163827,2012,0.12647444298820446,2.581944444444445,2.581944444444445,0.0,0.0,False,True,True
534,16029.0,271.0,2275.0,0.0,0.9236111111111109,0.5707476166583041,2016,0.0679879578524837,8.61,2.581944444444445,6.028055555555555,-0.9236111111111109,True,False,True
535,16031.0,1036.0,5949.0,0.0,2.36944444444444,0.5469841853622656,2016,0.09525560867966164,9.5326388888889,3.558796296296295,5.9738425925926055,-2.36944444444444,True,False,True
104,16031.0,1098.0,7154.0,2.36944444444444,2.36944444444444,0.8520724154359218,2012,0.1307765602667937,3.558796296296295,3.558796296296295,0.0,0.0,False,True,True
536,16033.0,44.0,203.0,0.0,2.86805555555556,0.5191815856777494,2016,0.11253196930946291,8.425,1.3608333333333347,7.064166666666666,-2.86805555555556,True,False,True
105,16033.0,66.0,235.0,2.86805555555556,2.86805555555556,0.7164634146341463,2012,0.20121951219512196,1.3608333333333347,1.3608333333333347,0.0,0.0,False,True,True
106,16035.0,1032.0,2541.0,4.48189153439153,4.48189153439153,0.6875,2012,0.2792207792207792,3.2588492063492045,3.2588492063492045,0.0,0.0,False,True,True
537,16035.0,704.0,2852.0,0.0,4.48189153439153,0.5702859428114377,2016,0.14077184563087383,9.283333333333335,3.2588492063492045,6.024484126984131,-4.48189153439153,True,False,True
538,16037.0,427.0,1777.0,0.0,2.02428571428571,0.5833880499015102,2016,0.14018384766907419,6.331818181818205,0.04492424242423976,6.286893939393965,-2.02428571428571,True,False,True
